"Board_or_system","Designators","Item","Footprint_or_interface","Locked purchasing target","Required_qty","Recommended_buy_qty","Checked_source","Source_url","MOQ_or_pack_estimate","Estimated_checkout_cost_usd","Status","Notes"
"Board A","J6","9-pin JST XH vertical UI cable header","Connector_JST:JST_XH_B9B-XH-A_1x09_P2.50mm_Vertical","JST B9B-XH-A(LF)(SN)","1","2","Mouser/search check","https://www.mouser.com/c/?q=B9B-XH-A%28LF%29%28SN%29","MOQ 1","about 1-2","VERIFY_STOCK","Verify stock in cart; this must mate with Board B J1 cable housing."
"Board B","J1","9-pin JST XH right-angle UI cable header","Connector_JST:JST_XH_S9B-XH-A_1x09_P2.50mm_Horizontal","JST S9B-XH-A(LF)(SN)","1","2","Newark/Mouser","https://www.newark.com/jst-japan-solderless-terminals/s9b-xh-a-lf-sn/wire-to-board-connector-right/dp/74M4834","MOQ 1","about 2-4","OK","Newark listing showed stock; verify right-angle cable exit in 3D viewer before order."
"Cables","J2,J4 mating","2-pin JST XH cable housings","2.5 mm JST XH housing","JST XHP-2","2","6","Mouser/search check","https://www.mouser.com/c/?q=XHP-2%20JST","MOQ 1","about 1","OK","Pump and reservoir cable housings; buy extras."
"Cables","J3,J5 mating","3-pin JST XH cable housings","2.5 mm JST XH housing","JST XHP-3","2","6","Mouser/search check","https://www.mouser.com/c/?q=XHP-3%20JST","MOQ 1","about 1","OK","Moisture and optional flow cable housings; buy extras."
"Cables","J6/J1 mating","9-pin JST XH cable housings","2.5 mm JST XH housing","JST XHP-9","2","4","Mouser/search check","https://www.mouser.com/c/?q=XHP-9%20JST","MOQ 1","about 1-2","OK","Two 9-pin housings needed for the Board A to Board B cable."
"Cables","All JST crimps","JST XH crimp contacts","22-30 AWG XH crimp contact","JST SXH-001T-P0.6","28+ contacts","100","Mouser/search check","https://www.mouser.com/c/?q=SXH-001T-P0.6","MOQ 1","about 5-8 for 100","OK","Buy many spares; hand crimping wastes contacts."
"Board A","J7","Debug header","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","Generic 1x06 2.54 mm vertical male header or breakaway strip","1","5","Common distributor","https://www.digikey.com/en/products/filter/rectangular-connectors/headers-male-pins/314","MOQ varies","about 2-5","OK","Any 2.54 mm vertical male header matching the footprint is fine."
"Board B","J2","OLED header","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","Generic 1x04 2.54 mm vertical male header or breakaway strip","1","5","Common distributor","https://www.digikey.com/en/products/filter/rectangular-connectors/headers-male-pins/314","MOQ varies","about 2-5","OK","Confirm OLED module socket/header orientation before soldering."
"Board B","SW1","Rotary encoder with push","Rotary_Encoder:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm","Alps Alpine EC11E15244G1","1","2","Mouser","https://www.mouser.com/ProductDetail/Alps-Alpine/EC11E15244G1","MOQ 1","about 5-6 for 2","VERIFY_MECHANICAL","Check shaft height and footprint hole fit; current STEP export may omit the model."
"Board B","D1","Red error LED","LED_SMD:LED_0805_2012Metric","Lite-On LTST-C171KRKT or equivalent red 0805 LED","1","10","Common distributor","https://www.digikey.com/en/products/filter/led-indication-discrete/105","MOQ varies","about 1-3","OK","Polarity matters; active-high GPIO through resistor to LED to GND."
"Board B","D2","Green or blue status LED","LED_SMD:LED_0805_2012Metric","Lite-On LTST-C171KGKT or equivalent green 0805 LED","1","10","Common distributor","https://www.digikey.com/en/products/filter/led-indication-discrete/105","MOQ varies","about 1-3","OK","Green is easier to see and lower risk than blue at low current."
"Board A/B","R1,R2","5.1k USB-C CC resistors","Resistor_SMD:R_0805_2012Metric","Yageo RC0805FR-075K1L","2","25","Mouser/Yageo family","https://www.mouser.com/ds/2/447/Yageo_08112016_RC0805-968729.pdf","MOQ varies","about 1-2","OK","Use 1 percent 0805."
"Board A/B","R3,R8,R1,R2,R3","10k pullups","Resistor_SMD:R_0805_2012Metric","Yageo RC0805FR-0710KL","5","25","Mouser/Yageo family","https://www.mouser.com/ds/2/447/Yageo_08112016_RC0805-968729.pdf","MOQ varies","about 1-2","OK","Covers EN, reservoir, and encoder pullups."
"Board A","R4","220 ohm gate resistor","Resistor_SMD:R_0805_2012Metric","Yageo RC0805FR-07220RL","1","25","Mouser/Yageo family","https://www.mouser.com/ds/2/447/Yageo_08112016_RC0805-968729.pdf","MOQ varies","about 1-2","OK","Gate series resistor."
"Board A","R5","100k gate pulldown","Resistor_SMD:R_0805_2012Metric","Yageo RC0805FR-07100KL","1","25","Mouser/Yageo family","https://www.mouser.com/ds/2/447/Yageo_08112016_RC0805-968729.pdf","MOQ varies","about 1-2","OK","Pump gate default-off pulldown."
"Board A","R6,R7","4.7k I2C pullups","Resistor_SMD:R_0805_2012Metric","Yageo RC0805FR-074K7L","2","25","Mouser/Yageo family","https://www.mouser.com/ds/2/447/Yageo_08112016_RC0805-968729.pdf","MOQ varies","about 1-2","OK","SDA/SCL pullups; R6 is one of the current Board A opens."
"Board A","R10","1k ADC series resistor","Resistor_SMD:R_0805_2012Metric","Yageo RC0805FR-071KL","1","25","Mouser/Yageo family","https://www.mouser.com/ds/2/447/Yageo_08112016_RC0805-968729.pdf","MOQ varies","about 1-2","OK","Moisture ADC input protection/series resistor."
"Board B","R4,R5","330 ohm LED resistors","Resistor_SMD:R_0805_2012Metric","Yageo RC0805FR-07330RL","2","25","Mouser/Yageo family","https://www.mouser.com/ds/2/447/Yageo_08112016_RC0805-968729.pdf","MOQ varies","about 1-2","OK","LED current resistors."
"Board A","C1","10 uF input ceramic","Capacitor_SMD:C_0805_2012Metric","Murata GRM21BR71A106KE51L or equivalent 10 uF 10 V X7R 0805","1","10","Common distributor","https://www.digikey.com/en/products/filter/ceramic-capacitors/60","MOQ varies","about 2-5","OK","Use at least 10 V rating; place near AP63203 input."
"Board A","C2,C5","22 uF output ceramics","Capacitor_SMD:C_0805_2012Metric","Murata GRM21BR60J226ME39L","2","10","DigiKey","https://www.digikey.com/en/products/detail/murata-electronics/GRM21BR60J226ME39L/586711","MOQ 1 cut tape","about 2 for 10","OK","X5R 6.3 V 0805; acceptable if derating is enough for 3.3 V output."
"Board A/B","C3,C4,C1,C2,C3","100 nF ceramic caps","Capacitor_SMD:C_0805_2012Metric","KEMET C0805X104K5RACTU or equivalent 100 nF 50 V X7R 0805","5 footprints, 4 DNP/optional","25","Mouser","https://www.mouser.com/c/passive-components/capacitors/ceramic-capacitors/mlccs-multilayer-ceramic-capacitors/?q=C0805C104K5RACTU","MOQ varies","about 1-3","OK","Includes BST cap and optional/DNP encoder/ADC filters."
"Board A","C6","Pump rail bulk capacitor","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","Nichicon/Panasonic 100 uF 10 V radial electrolytic, D6.3 mm, P2.50 mm","1","3","Common distributor","https://www.digikey.com/en/products/filter/aluminum-electrolytic-capacitors/58","MOQ varies","about 2-4","OK","Keep voltage rating at least 10 V; observe polarity."
"Board B","J2 module","0.96 inch SSD1306 OLED module","4-pin module GND,VCC,SCL,SDA","Makerfabs MDOL0962B or any confirmed GND,VCC,SCL,SDA SSD1306 module","1","2","Makerfabs/search check","https://www.makerfabs.com/0-96-inch-i2c-oled-128x64-blue.html","MOQ 1","about 8 for 2","VERIFY_PIN_ORDER","Do not buy or solder until the module pin order is physically confirmed as GND,VCC,SCL,SDA."
"System","Pump","Small water pump","Board A J2 5 V switched low side","Gikfun DC 3 V-5 V micro submersible pump pack","1","4 pack","Gikfun","https://gikfun.com/products/gikfun-dc-3v-5v-micro-submersible-mini-water-pump-pack-of-4pcs","Sold as 4-pack","about 12-13","OK","Board A is 5 V USB-powered; do not use a 12 V pump without redesigning power."
"System","Moisture sensor","Analog capacitive soil sensor","Board A J3 3V3,GND,ADC","DFRobot SEN0193","1","2","DFRobot","https://www.dfrobot.com/product-1385.html/","MOQ 1","about 12 for 2","OK","Sensor supports 3.3 V to 5.5 V and analog output compatible with the Board A ADC path."
"System","Reservoir switch","2-wire reservoir level switch","Board A J4 switch to GND","Generic 2-wire vertical float switch, normally-open or normally-closed selected in firmware","1","2","DigiKey/Mouser search","https://www.digikey.com/en/products/filter/float-level-sensors/520","MOQ varies","about 5-15","VERIFY_MECHANICAL","Need physical reservoir design before locking stem length and orientation."
"System","Optional flow sensor","3-wire pulse flow sensor","Board A J5 3V3,GND,FLOW_PULSE","DFRobot SEN0216 or equivalent only with level shifting if powered above 3.3 V","0 optional","1 optional","DFRobot","https://www.dfrobot.com/product-1531.html","MOQ 1","about 9","OPTIONAL_VERIFY_LEVEL","Many flow sensors output 5 V pulses; do not connect a 5 V pulse directly to ESP32 without level shifting."
"Mechanical","Board A hardware","Board A screws and spacers","Board A mounting holes","M3 nylon screw/spacer kit","4 screws plus spacers","1 kit","Common hardware supplier","https://www.mcmaster.com/products/spacers/","Kit/package","about 8-15","OK","Pick spacer length after pot base/enclosure model is known."
"Mechanical","Board B hardware","Board B screws and spacers","Board B M2.5 mounting holes","M2.5 nylon screw/spacer kit","4 screws plus spacers","1 kit","Common hardware supplier","https://www.mcmaster.com/products/spacers/","Kit/package","about 8-15","OK","Pick spacer length after front-panel stackup is known."
