"Category","Board_or_use","Designators","Item","Orderable_part_or_target","Required_for_5_units","Supplier_checked","Source_url","MOQ_or_pack_basis","Buy_qty","Estimated_unit_usd","Estimated_line_usd","Status","Notes"
"Cables","Board A to Board B UI cables","J6/J1 mating","9-pin JST-XH housings","JST XHP-9","10","Mouser","https://www.mouser.com/ProductDetail/JST-Commercial/XHP-9?qs=QpmGXVUTftHM%2FmHT1mOcYA%3D%3D","Qty 10 price tier","10","0.13","1.30","OK","Two 9-pin housings per unit, one for each end of the UI cable."
"Cables","All JST cables","JST contacts","JST-XH crimp contacts","JST SXH-001T-P0.6","125","Mouser","https://www.mouser.com/ProductDetail/JST-Commercial/SXH-001T-P0.6?qs=QpmGXVUTftHVe8yFBLIwfA%3D%3D","Qty 100 price tier","125","0.042","5.25","MINIMUM","Minimum exact count; buy more in practice because hand crimping wastes contacts."
"Board A/B","Debug and OLED headers","J7,J2","2.54 mm breakaway male header strips","Generic 2.54 mm single-row breakaway header","50 pins","Common distributor","https://www.digikey.com/en/products/filter/rectangular-connectors/headers-male-pins/314","Two 40-pin strips assumed","2 strips","0.75","1.50","OK","Covers Board A 1x6 debug and Board B 1x4 OLED headers."
"Board B","User input","SW1","Rotary encoder with push switch","Alps Alpine EC11E15244G1","5","Mouser","https://www.mouser.com/ProductDetail/Alps-Alpine/EC11E15244G1?qs=YMSFtX0bdJDiV4LBO61anw%3D%3D","Qty 5 price tier","5","3.86","19.30","VERIFY_MECHANICAL","Confirm shaft height, knob clearance, and panel stackup."
"Board B","Indicators","D1","Red 0805 LED","Lite-On LTST-C171KRKT or equivalent red 0805 LED","5","DigiKey/Octopart","https://octopart.com/ltst-c171krkt-lite-on-549889","MOQ 1 cut tape estimate","5","0.13","0.65","OK","Polarity matters."
"Board B","Indicators","D2","Green 0805 LED","Lite-On LTST-C171KGKT or equivalent green 0805 LED","5","DigiKey","https://www.digikey.com/en/products/filter/led-indication-discrete/105","MOQ 1 cut tape estimate","5","0.13","0.65","OK","Green is the default status LED color."
"Board A","USB-C CC","R1,R2","5.1k 0805 1% resistors","Yageo RC0805FR-075K1L or equivalent","10","DigiKey","https://www.digikey.com/en/products/detail/yageo/RC0805FR-075K1L/730935","Qty 10 price tier","10","0.034","0.34","OK","USB-C sink CC resistors."
"Board A/B","Pullups","R3,R8,R1,R2,R3","10k 0805 1% resistors","Yageo RC0805FR-0710KL or equivalent","25","DigiKey","https://www.digikey.com/en/products/detail/yageo/RC0805FR-0710KL/727535","Qty 25 estimate","25","0.0256","0.64","OK","Covers EN, reservoir, and encoder pullups."
"Board A","Pump gate","R4","220 ohm 0805 1% resistor","Yageo RC0805FR-07220RL or equivalent","5","DigiKey/Mouser","https://www.digikey.com/en/products/filter/chip-resistor-surface-mount/52","MOQ 1 estimate","5","0.10","0.50","OK","Pump gate series resistor."
"Board A","Pump gate","R5","100k 0805 1% resistor","Yageo RC0805FR-07100KL or equivalent","5","DigiKey/Mouser","https://www.digikey.com/en/products/filter/chip-resistor-surface-mount/52","MOQ 1 estimate","5","0.10","0.50","OK","Gate pulldown."
"Board A","I2C pullups","R6,R7","4.7k 0805 1% resistors","Yageo RC0805FR-074K7L or equivalent","10","DigiKey/Mouser","https://www.digikey.com/en/products/filter/chip-resistor-surface-mount/52","Qty 10 estimate","10","0.034","0.34","OK","Board A SDA/SCL pullups."
"Board A","Moisture ADC","R10","1k 0805 1% resistor","Yageo RC0805FR-071KL or equivalent","5","DigiKey/Mouser","https://www.digikey.com/en/products/filter/chip-resistor-surface-mount/52","MOQ 1 estimate","5","0.10","0.50","OK","ADC series resistor."
"Board B","LED current limit","R4,R5","330 ohm 0805 1% resistors","Yageo RC0805FR-07330RL or equivalent","10","DigiKey/Mouser","https://www.digikey.com/en/products/filter/chip-resistor-surface-mount/52","Qty 10 estimate","10","0.034","0.34","OK","LED resistors."
"Board A","Buck input","C1","10 uF 10 V X7R 0805 capacitor","10 uF 10 V X7R 0805 MLCC equivalent","5","DigiKey/Mouser","https://www.digikey.com/en/products/filter/ceramic-capacitors/60","MOQ 1 estimate","5","0.32","1.60","OK","Use at least 10 V rating."
"Board A","Buck output","C2,C5","22 uF 6.3 V X5R 0805 capacitors","Murata GRM21BR60J226ME39L","10","DigiKey","https://www.digikey.com/en/products/detail/murata-electronics/GRM21BR60J226ME39L/586711","Qty 10 price tier","10","0.19","1.90","OK","Two output caps per Board A."
"Board A","Bootstrap","C3","100 nF 0805 capacitor","100 nF 0805 MLCC equivalent","5","Mouser/DigiKey","https://www.mouser.com/c/passive-components/capacitors/ceramic-capacitors/mlccs-multilayer-ceramic-capacitors/?q=C0805C104K5RACTU","MOQ 1 estimate","5","0.10","0.50","OK","DNP ADC/debounce capacitor footprints are excluded from minimum."
"Board A","Pump rail","C6","100 uF 10 V radial electrolytic","100 uF 10 V radial electrolytic, 6.3 mm body, 2.50 mm pitch","5","DigiKey/Mouser","https://www.digikey.com/en/products/filter/aluminum-electrolytic-capacitors/58","MOQ 1 estimate","5","0.65","3.25","OK","Observe polarity."
"Board B","Display module","J2 module","0.96 inch SSD1306 I2C OLED module","Makerfabs MDOL0962B or confirmed GND,VCC,SCL,SDA equivalent","5","Makerfabs","https://www.makerfabs.com/0-96-inch-i2c-oled-128x64-blue.html","MOQ 1","5","3.80","19.00","VERIFY_PIN_ORDER","Do not solder until pin order is visually confirmed."
"System","Water pump","Pump","3 V to 5 V mini submersible pump","Gikfun DC 3V-5V micro submersible pump pack of 4","5 pumps","Gikfun","https://gikfun.com/products/gikfun-dc-3v-5v-micro-submersible-mini-water-pump-pack-of-4pcs","Sold as 4-pack","2 packs","11.98","23.96","PACK_OVERBUY","Buying two packs gives 8 pumps for 5 systems."
"System","Moisture sensing","Moisture sensor","Capacitive soil moisture sensor","DFRobot SEN0193","5","DFRobot","https://www.dfrobot.com/product-1385.html/","Qty 5 price tier","5","5.70","28.50","OK","Compatible supply range is 3.3 V to 5.5 V; use Board A 3.3 V."
"System","Reservoir sensing","Reservoir switch","2-wire float switch","Small vertical float switch pack, PMD Way 5-pack or equivalent","5","PMD Way","https://pmdway.com/products/plastic-vertical-float-switches-five-pack","Sold as 5-pack","1 pack","24.67","24.67","VERIFY_MECHANICAL","Mechanical reservoir geometry is still the lock item."
"System","Power","Power source","5 V >=2 A USB power adapter or power bank","Generic 5 V, >=2 A USB supply","5","Common supplier","https://www.digikey.com/en/products/filter/ac-dc-desktop-wall-power-adapters/130","One per deployed unit assumed","5","10.00","50.00","REQUIRED_FOR_DEPLOYMENT","Remove this line if you already have suitable power supplies."
"Bench/debug","Programming","USB cable","USB-C data cable","USB-C cable with USB2 data wires","1","Common supplier","https://www.digikey.com/en/products/filter/usb-cables/455","One bench cable assumed","1","6.00","6.00","REQUIRED_FLASH","Charge-only cables are not sufficient for flashing."
"Bench/debug","Fallback programming","UART adapter","3.3 V USB-UART adapter","CP2102/CH340/FTDI style 3.3 V logic USB-UART","1","Common supplier","https://www.digikey.com/en/products/filter/adapter-breakout-boards/643","One bench adapter assumed","1","8.00","8.00","REQUIRED_DEBUG","Use 3.3 V logic only; never use 5 V UART on ESP32 pins."
"Mechanical","Mounting","Screws/spacers","M2.5 and M3 nylon screw/spacer kits","Generic assorted nylon screw and spacer kits","Hardware for 5 units","Common hardware supplier","https://www.mcmaster.com/products/spacers/","One M2.5 kit plus one M3 kit assumed","2 kits","10.00","20.00","VERIFY_ENCLOSURE","Spacer length depends on the base/front-panel model."
